persondata.txt   v0.1 GAMMEL UTGAVE H2010   Kilder: Wikipedia, TMDb   -*- coding:us-ascii -*-
aak1	AAke Fridell
aal1	Aaliyah
aam1	Aamir Bashir
aam2	Aamir Khan
aar1	Aaran Thomas
aar2	Aaron Abrams
aar3	Aaron Blaise
aar4	Aaron Eckhart
aar5	Aaron Jackson
aar6	Aaron Johnson
aar7	Aaron Kwok
aar8	Aaron Lipstadt
aar9	Aaron Lohr
aar10	Aaron Murphy
aar11	Aaron Paul
aar12	Aaron Ruell
aar13	Aaron Russo
aar14	Aaron Schwartz
aar15	Aaron Seltzer
aar16	Aaron Spann
aar17	Aaron Spelling
aar18	Aaron Stanford
aar19	Aaron Wiederspahn
aar20	Aaron Wolff
aar21	Aaron Yonda
aar22	Aaron Yoo
aar23	Aarthi
aar24	Aarti Chhabria
abb1	Abbas Kiarostami
abb2	Abbie Cornish
abb3	Abbas
abb4	Abbas-Mustan
abb5	Abbas Alibhai Burmawalla
abb6	Abbas Rahimi
abb7	Abby Dalton
abb8	Abby Epstein
abb9	Abby Mukiibi Nkaaga
abd1	Abdolrahman Bagheri
abd2	Abdallah Gheith
abd3	Abdel Ahmed Ghili
abd4	Abdelhak Zhayra
abd5	Abderrahmane Sissako
abd6	Abdul Alshawish
abd7	Abdul Malik Abbott
abd8	Abdul Salis
abe1	Abe Levitow
abe2	Abel Ferrara
abe3	Abe Vigoda
abh1	Abhi Bhattacharya
abh2	Abhishek Bachchan
abh3	Abhishek Kapoor
abi1	Abigail Breslin
abi2	Abid Ali
abi3	Abigail
abi4	Abigail Chu
abi5	Abigail Clayton
abi6	Abigail Cruttenden
abi7	Abigail Gudgeon
abi8	Abi Tucker
abo1	Aboucar Toure
abr1	Abraham Benrubi
abr2	Abraham Celektar
abr3	Abraham Polonsky
abr4	Abraham Sofaer
abr5	Abram Room
aca1	A.C. Abadie
acc1	acclaimed director
ach1	Achim von Borries
ach2	Achita Sikamana
acq1	Acquanetta
ada1	Ada Brown
ada2	Adair Jameson
ada3	Adam Abraham
ada4	Adam Alexi-Malle
ada5	Adam Ant
ada6	Adam Arkin
ada7	Ada May
ada8	Adam Baldwin
ada9	Adam Beach
ada10	Adam Bernstein
ada11	Adam Berry
ada12	Adam Bousdoukos
ada13	Adam Boyd
ada14	Adam Brody
ada15	Adam Brooks
ada16	Adam Butcher
ada17	Adam Campbell
ada18	Adam Carolla
ada19	Adam Cheng
ada20	Adam Chubbuck
ada21	Adam Clayton
ada22	Adam Coleman Howard
ada23	Adam Cox
ada24	Adam Curtis
ada25	Adam Del Deo
ada26	Adam F
ada27	Adam Faith
ada28	Adam Faraizl
ada29	Adam Franks
